Λαχανόρυζο,Κοτόσουπα,Ψαρόσουπα,Σούπα λαχανικών,"Κοφτό μακαρονάκι με
σάλτσα",,,Κρεατόσουπα,Ριζότο με αλλαντικά
"Πέννες καρμπονάρα
τυρί τριμμένο","Κοτόπουλο ψητό με
λαζανάκι","Γαρίδες σαγανάκι με
πιλάφι","Κοτόπουλο με σως
μουστάρδας
φιογκάκια",Γίγαντες πλακί,,,"Χοιρινό αλά
μπότσαρη με πατάτες
φούρνου",Παστίτσιο
"Μακαρόνια με σάλτσα
λαχανικών
τυρί τριμμένο","Χοιρινό εξοχικό με
ριζότο","Βακαλάος αλά σπετσιώτα
και πανέ με
πατάτες φούρνου","Χοιρινή μπριζόλα ψητή
με πατάτες τηγανιτές",Φακές σούπα,,,Μοσχάρι γιουβέτσι,"Γαλοπούλα με σάλτσα
μουστάρδας - χυλοπίτες"
"Μαρούλι με κρεμμύδια
φρέσκα, ρόκα-λόλα
ντομάτα, λάχανο, άσπρο-
κόκκινο, καρότο πιπεριά,
κρεμμύδι ,ελιές","Μαρούλι, ρόκα, λόλα,
κρουτόν,λάχανο
άσπρο-
κόκκινο,πολίτικη,
καλαμπόκι,μουστάρδα","Κουνουπίδι ή μπρόκολο
βραστό-καρότο μαρούλι
με κρεμμύδια φρέσκα
ρόκα, λόλα ,ντομάτα,
κρεμμύδι,
λάχανο άσπρο,κόκκινο","Μαρούλι, ρόκα, λόλα,
κρουτόν,λάχανο
άσπρο-
κόκκινο,πολίτικη,
καλαμπόκι,μουστάρδα","Ταραμοσαλάτα,
ελιές,λάχανο άσπρο-
κόκκινο ,καρότο,
Μαρούλι με κρεμμύδια
φρέσκα-ρόκα, λόλα,
πιπεριές
φλωρίνης,ντολμαδάκια",,,"Ντομάτα ,πιπεριά,
κρεμμύδι ,λάχανο
άσπρο,κόκκινο,
καρότο","Μαρούλι με κρεμμυδάκι
φρέσκο,
ρόκα,λόλα,λάχανο
άσπρο ,κόκκινο,
καρότο"
Φρούτο 2 επιλογές,Φρούτο 2 επιλογές,Φρούτο 2 επιλογές,Φρούτο 2 επιλογές,Φρούτο 2 επιλογές,,,Φρούτο 2 επιλογές,Φρούτο 2 επιλογές
,Ρώσικη,,,Τυρί Φέτα-Γλυκό,,,Τυρί Φέτα,
Μινεστρόνε,Σούπα του Σεφ,Τοματόσουπα,Κους κους με μανιτάρια,Πουρές με μπέικον,,,Χορτόσουπα,Σούπα Ζυμαρικών
"Γιουβαρλάκια
αυγολέμονο","Τυρόπιτα με πατάτες
φούρνου","Μακαρόνια με κιμά
τυρί τριμμένο","Αρακάς λαδερός με
πατάτες","Ταλιατέλες με σάλτσα
ντομάτας -τυρί τριμμένο",,,Σουφλέ με πέννες,"Τριβελάκι καρμπονάρα
τυρί τριμμένο"
Γιουβέτσι λαχανικών,"Σπετσοφάι Βολιώτικο
Ριζότο","Ομελέτα με ή χωρίς
αλλαντικά και τυριά-
πατάτες τηγανιτές","Φασολάκια
λαδερά με
πατάτες","Πίτσα special(τυρί
ζαμπόν-μπέικον
πιπεριά)ή μαργαρίτα
πατάτες τηγανιτές",,,"Πατάτες γιαχνί με
μανιτάρια",Μπριάμ φούρνου
"Μαρούλι με κρεμμυδάκι
φρέσκο,
ρόκα,λόλα,λάχανο
άσπρο ,κόκκινο,","Μαρούλι με κρεμμυδάκι
φρέσκο,
ρόκα,λόλα,λάχανο
άσπρο ,κόκκινο,","Μαρούλι με κρεμμυδάκι
φρέσκο,
ρόκα,λόλα,λάχανο άσπρο
,κόκκινο,","Ντομάτα, πιπεριά,
κρεμμύδι, μαρούλι
κρεμμυδάκι φρέσκο
,ρόκα ,λόλα","Μαρούλι με κρεμμυδάκι
φρέσκο,
ρόκα,λόλα,λάχανο
άσπρο ,κόκκινο,",,,"Ντομάτα ,πιπεριά,
κρεμμύδι ,λάχανο
άσπρο,κόκκινο,
καρότο","Μαρούλι με κρεμμυδάκι
φρέσκο,
ρόκα,λόλα,λάχανο
άσπρο ,κόκκινο,"
καρότο,καρότο,καρότο,,καρότο,,καρότο
Φρούτο 2 επιλογές,Φρούτο 2 επιλογές,Φρούτο 2 επιλογές,Φρούτο 2 επιλογές,Φρούτο 2 επιλογές,Φρούτο 2 επιλογές,Φρούτο 2 επιλογές
Κομπόστα,,,Τυρί Φέτα,,Κρέμα,Τυρί φέτα
